state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
IL-2011;55,92;1,28;3,84;continental humide ete sec
IL-2012;57,95;-2,35;2,51;continental humide ete sec
IL-2013;53,07;0,43;3,54;continental humide ete sec
IL-2014;52,23;1,09;3,44;continental humide ete sec
IL-2015;55,35;2,73;4,07;continental humide ete sec
IN-1992;53,18;0,22;3,36;continental humide ete sec
IN-1993;52,64;3,09;4,05;continental humide ete sec
IN-1994;54,34;-0,78;2,96;continental humide ete sec
IN-1995;53,62;-0,74;3,19;continental humide ete sec
IN-1996;52,31;1,56;3,97;continental humide ete sec
IN-1997;52,99;1,82;3,32;continental humide ete sec
IN-1998;56,78;0,34;3,74;continental humide ete sec
IN-1999;55,59;-1,36;2,92;continental humide ete sec
IN-2000;53,82;-0,2;3,62;continental humide ete sec
IN-2001;55,55;0,84;3,66;continental humide ete sec
IN-2002;54,85;0,62;3,52;continental humide ete sec
IN-2003;53,75;1,22;3,87;continental humide ete sec
IN-2004;54,74;2,63;3,62;continental humide ete sec
IN-2005;54,94;-0,48;3,41;continental humide ete sec
IN-2006;54,73;1,75;4,25;continental humide ete sec
IN-2007;55,2;-0,17;3,48;continental humide ete sec
IN-2008;53,16;2,61;4,14;continental humide ete sec
IN-2009;54,01;2,05;3,84;continental humide ete sec
IN-2010;55,21;-0,73;3,12;continental humide ete sec
IN-2011;55,74;2,17;4,6;continental humide ete sec
IN-2012;57,2;-0,67;2,82;continental humide ete sec
IN-2013;53,15;0,59;3,76;continental humide ete sec
IN-2014;52,14;1,82;3,63;continental humide ete sec
IN-2015;54,76;2,68;3,96;continental humide ete sec
IA-1992;49,72;1,88;3,02;continental humide ete sec
IA-1993;48,22;6,08;3,99;continental humide ete sec
IA-1994;50,82;3,15;2,46;continental humide ete sec
IA-1995;49,89;0,39;2,69;continental humide ete sec
IA-1996;47,84;0,68;2,81;continental humide ete sec
IA-1997;50,05;0,4;2,43;continental humide ete sec
IA-1998;53,41;1,8;3,3;continental humide ete sec
IA-1999;52,63;0,92;2,69;continental humide ete sec
IA-2000;51,09;-1,06;2,48;continental humide ete sec
