LATITUDE;LONGITUDE;STATES
38474;-121324;CA
429726;-881291;WI
259854;-801423;FL
340323;-1179533;CA
422333;-883351;IL
423494;-715468;MA
416318;-880997;IL
350699;-806452;NC
267038;-802241;FL
356238;-870484;TN
454129;-1227004;OR
419181;-881307;IL
37063;-1208406;CA
28014;-821201;FL
283698;-813467;FL
450028;-1230243;OR
389706;-765047;MD
393021;-764449;MD
325922;-967739;TX
341353;-843139;GA
411714;-1120485;UT
399108;-1049783;CO
350829;-897824;TN
350093;-1066819;NM
32646;-969127;TX
335999;-1171069;CA
41239;-808174;OH
340058;-1183968;CA
336165;-1122819;AZ
328353;-971809;TX
282075;-824476;FL
39087;-765687;MD
475439;-1220471;WA
344376;-1031923;NM
344892;-930501;AR
296948;-956658;TX
421308;-87924;IL
376113;-1224782;CA
387489;-1047142;CO
43064;-881231;WI
478284;-1223033;WA
355847;-808266;NC
327281;-103.16;NM
403716;-1117412;UT
335619;-821351;GA
379985;-1221161;CA
362235;-1159974;NV
399716;-1047963;CO
338003;-1179935;CA
213859;-1580101;HI
34961;-898469;MS
342692;-887318;MS
257065;-804388;FL
399588;-827943;OH
407197;-735604;NY
471417;-1224376;WA
424333;-1233317;OR
408509;-739713;NJ
295456;-958223;TX
419818;-881446;IL
280177;-825062;FL
387499;-769063;MD
414699;-905827;IL
34165;-1179921;CA
421227;-882896;IL
431487;-881227;WI
406647;-737043;NY
420125;-878436;IL
32711;-1170027;CA
357432;-953567;OK
323846;-886896;MS
259566;-801371;FL
376263;-773561;VA
256105;-804297;FL
448161;-929274;MN
429619;-880052;WI
453418;-1225924;OR
400353;-831578;OH
408435;-732833;NY
286889;-812703;FL
42523;-890184;WI
261903;-98152;TX
285325;-817208;FL
324035;-968446;TX
38309;-858234;IN
419313;-880085;IL
324597;-864573;AL
356526;-788399;NC
422432;-831811;MI
415856;-871797;IN
367365;-959456;OK
280329;-827862;FL
388887;-773016;VA
324585;-850253;AL
406519;-1120095;UT
342861;-1188768;CA
468573;-969057;ND
362878;-958311;OK
345776;-925713;AR
428803;-879009;WI
361365;-115137;NV
338436;-842024;GA
448763;-932829;MN
407033;-737078;NY
416134;-875505;IL
415657;-904765;IA
440915;-701681;ME
450155;-931545;MN
393239;-94924;KS
384479;-903199;MO
336173;-1172582;CA
261682;-802017;FL
428854;-880104;WI
405973;-831227;OH
335008;-1176544;CA
333942;-84571;GA
36199;-865115;TN
293708;-1008801;TX
42.37;-711774;MA
377307;-842925;KY
260463;-802862;FL
386867;-1213475;CA
335905;-1123271;AZ
341022;-1180579;CA
255886;-803862;FL
393723;-768024;MD
341259;-1177153;CA
255396;-803971;FL
36.02;-865586;TN
354293;-1190306;CA
340883;-1183719;CA
448247;-930596;MN
38.58;-906698;MO
416834;-883372;IL
398318;-848905;IN
400251;-828637;OH
403137;-1120114;UT
400272;-830704;OH
280577;-825148;FL
391465;-770715;MD
296689;-950484;TX
350063;-805596;NC
313217;-947277;TX
405393;-1123082;UT
339801;-1181798;CA
340086;-860157;AL
374685;-1221673;CA
339417;-1183018;CA
283349;-813539;FL
338894;-1183967;CA
336696;-844701;GA
386881;-1212209;CA
267813;-800741;FL
477213;-1169384;ID
335209;-820985;GA
379539;-1220759;CA
412465;-818198;OH
414728;-873196;IN
337394;-841644;GA
396468;-1049942;CO
411765;-814344;OH
36204;-863481;TN
394115;-767913;MD
389075;-946258;KS
396192;-1051344;CO
353778;-779717;NC
415743;-858309;IN
334518;-867437;AL
45211;-1231918;OR
388653;-773586;VA
391788;-771954;MD
401225;-753398;PA
382247;-845487;KY
386657;-903315;MO
316383;-1062601;TX
45902;-1126571;MT
418349;-731282;CT
345814;-1174397;CA
34026;-846177;GA
389666;-769791;MD
396954;-863716;IN
411542;-739912;NY
283139;-806708;FL
467336;-117168;WA
356658;-804905;NC
413852;-820195;OH
431825;-892362;WI
361482;-855109;TN
